time,open,high,low,close,Fast EMA,Standard EMA,Slow EMA,SPX · TVC: close,MA,Conversion Line,Base Line,Lagging Span,Leading Span A,Leading Span B,Short Period Moving Average,Long Period Moving Average,Plot,Shapes,Shapes,Volume,Volume MA,Histogram,MACD,Signal,OBV,Signal,Crossover,Crossunder,Basis,Upper Band,Lower Band,Upper Band,Lower Band,volume,MA,ATR,ATR,Plot,RoC & MA Cross Up,RoC & MA Cross Down,Basis,Rate of Change,Bull,Hidden Bull,Bear,Hidden Bear
509587200,16,16,16,16,13.415000000000001,9.583799999999998,12.382703862660941,226.92,13.908571428571424,14.045,12.629999999999999,13.39,NaN,NaN,13.908571428571424,11.0848,NaN,0,0,NaN,NaN,0.4395588309708225,1.1461158579422168,0.7065570269713943,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.4404350685440458,0.3494838491884698,0.5213264582178515,83.84201748606652,0,0,NaN,46.11872146118722,NaN,NaN,46.11872146118722,46.11872146118722
512611200,16.32,16.32,16.32,16.32,13.837,9.6608,12.389957081545063,228.69,14.51285714285714,14.205,12.79,12.41,NaN,NaN,14.51285714285714,11.2584,NaN,0,0,NaN,NaN,0.469965549047876,1.2940139632812393,0.8240484142333633,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.46294434446632504,0.3488941722047004,0.49256553561530136,84.71369519886345,0,0,NaN,45.71428571428572,NaN,NaN,NaN,NaN
515030400,16.28,16.28,16.28,16.28,14.222,9.740799999999998,12.396952789699569,234.79,15.068571428571426,14.205,12.79,12.49,NaN,NaN,15.068571428571426,11.4344,NaN,0,0,NaN,NaN,0.45432212155193263,1.391951066173279,0.9376289446213464,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.45880943811399283,0.3427162887606064,0.42791331624168677,84.10292951476922,0,0,NaN,39.74248927038627,NaN,NaN,NaN,NaN
517449600,16.68,16.68,16.68,16.68,14.663999999999998,9.825999999999999,12.40283261802575,247.35,15.547142857142854,14.535,12.969999999999999,12.22,NaN,NaN,15.547142857142854,11.6086,NaN,0,0,NaN,NaN,0.4376796893341224,1.4847285562889994,1.047048866954877,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.46412237552627955,0.34386196298539423,0.4239256996357313,85.24830433069462,0,1,NaN,37.85123966942149,NaN,NaN,NaN,NaN
520473600,16.28,16.28,16.28,16.28,15.082999999999998,9.907499999999997,12.404334763948496,252,15.845714285714282,15.004999999999999,12.969999999999999,11.78,NaN,NaN,15.845714285714282,11.7724,NaN,0,0,NaN,NaN,0.3692318325081352,1.508588657590046,1.1393568250819108,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.45724775045109667,0.34498472372568634,0.42050774254491236,79.1100238540668,0,0,NaN,30.973451327433644,NaN,NaN,NaN,NaN
522892800,16.55,16.55,16.55,16.55,15.499,9.9889,12.404935622317595,234.91,16.169999999999995,15.434999999999999,12.969999999999999,11.79,NaN,NaN,16.169999999999995,11.9486,NaN,0,0,NaN,NaN,0.3138177696587652,1.5316290371553674,1.2178112674966022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.4327837861009399,0.3434850292511726,0.39900663646706763,80.14905967358555,0,0,NaN,34.99184339314846,NaN,NaN,NaN,NaN
525916800,16.05,16.05,16.05,16.05,15.771,10.061899999999998,12.401673819742486,250.47,16.308571428571423,15.48,13.285,12.02,NaN,NaN,16.308571428571423,12.113,NaN,0,0,NaN,NaN,0.21962307779388768,1.4923401147389619,1.2727170369450742,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.41695753094366267,0.34661532866614914,0.4134342598289151,72.91623807168841,0,0,NaN,32.7543424317618,NaN,NaN,NaN,NaN
528336000,16.12,16.12,16.12,16.12,15.963999999999999,10.136099999999999,12.396866952789697,233.71,16.32571428571428,15.879999999999999,13.285,11.57,NaN,NaN,16.32571428571428,12.276000000000002,NaN,0,0,NaN,NaN,0.14193478332122456,1.450135516096605,1.3082007327753804,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.40424931223742505,0.34108302209282615,0.3643722227104987,73.27978624675939,0,0,NaN,30.104923325262313,NaN,NaN,NaN,NaN
530755200,16.78,16.78,16.78,16.78,16.214,10.2182,12.39527896995708,243.98,16.391428571428566,16.39,13.335,11.64,NaN,NaN,16.391428571428566,12.431000000000001,NaN,0,0,NaN,NaN,0.11599385129279849,1.4531930468913785,1.33719919559858,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.4007851247749358,0.34746136165096964,0.40660476232328463,76.48481519462023,0,0,NaN,25.88147036759191,NaN,NaN,NaN,NaN
533779200,17.17,17.17,17.17,17.17,16.423,10.2992,12.393948497854074,251.17,16.518571428571423,16.61,13.530000000000001,11.82,NaN,NaN,16.518571428571423,12.574200000000001,NaN,0,0,NaN,NaN,0.10635188737269408,1.4701390548144477,1.3637871674417537,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.39753010694994495,0.3483121344179503,0.40423265341995834,78.15244705474349,0,0,NaN,21.00070472163497,NaN,NaN,NaN,NaN
